Date,ARCO,BFR,CRESY,EDN,GGAL,IRS,IRCP,BMA,MELI,NTL,PAM,PZE,TEO,TGS,YPF
2013-02-14 00:00:00+00:00,12.078782,4.75808,16.038063,8.278441,2.6,5.930526,13.004082,7.798993,81.950056,12.089711,3.83,5.846893,12.558997,1.619582,16.263058
2013-02-15 00:00:00+00:00,12.078782,4.699459,15.980853,8.154888,2.74,5.801817,13.642744,7.687046,81.656045,11.927433,3.86,5.690455,12.61005,1.533434,16.097506
2013-02-19 00:00:00+00:00,12.363435,4.572446,15.771081,8.373484,2.64,5.494895,13.550408,7.780336,83.204493,12.008573,3.81,5.55357,12.686629,1.567893,15.892999
2013-02-20 00:00:00+00:00,12.249574,4.396583,15.151298,8.050331,2.56,5.663207,13.573491,7.687046,82.342062,11.805725,3.77,5.270025,12.354786,1.593737,15.844308
2013-02-21 00:00:00+00:00,12.249574,4.22072,14.254996,8.059834,2.45,5.415689,13.19645,7.761678,82.538073,11.505511,3.63,5.172251,12.25268,1.550663,14.841257
2013-02-22 00:00:00+00:00,12.297016,4.328192,14.235927,8.192901,2.54,5.732512,13.19645,7.74302,83.420101,11.675903,3.62,5.309135,12.184609,1.49036,14.792565
2013-02-25 00:00:00+00:00,12.192644,4.20118,13.968943,8.002814,2.42,5.475093,13.111809,7.640401,82.871279,11.351347,3.86,4.966926,11.920837,1.455901,14.549106
2013-02-26 00:00:00+00:00,12.145201,4.142558,14.445699,8.069347,2.31,5.544398,13.381123,7.668389,82.351865,11.554194,3.8,4.927816,12.133557,1.498975,14.218003
2013-02-27 00:00:00+00:00,12.183155,4.377043,14.960595,8.116864,2.32,5.692909,13.581186,7.761678,82.75368,11.513624,3.94,4.976703,12.329259,1.421441,14.325124
2013-02-28 00:00:00+00:00,12.021851,3.947155,13.854521,7.964791,2.06,5.187972,13.47346,7.705705,83.900313,10.118034,3.85,4.53672,10.457322,1.335293,12.270331
2013-03-01 00:00:00+00:00,12.069294,4.093707,13.844987,8.116864,2.12,5.514696,13.47346,7.74302,83.880708,10.028781,3.77,4.546497,10.908289,1.369753,13.244167
2013-03-04 00:00:00+00:00,11.651802,4.171869,14.598261,8.192901,2.25,5.584001,13.173366,7.892283,85.193951,11.026791,3.8,4.751823,12.031451,1.430056,13.731085
2013-03-05 00:00:00+00:00,11.594872,4.289111,14.57919,8.649121,2.44,5.70281,13.465765,8.302756,85.840767,11.270208,3.8,4.878929,12.176101,1.47313,13.857683
2013-03-06 00:00:00+00:00,11.566406,4.347732,14.817568,9.067318,2.38,5.742413,13.465765,8.386717,89.055269,10.913196,3.85,4.80071,11.82724,1.498975,14.295909
2013-03-07 00:00:00+00:00,11.803617,4.347732,15.055946,8.782187,2.28,5.772115,13.465765,8.53598,88.996462,11.189069,3.87,4.595384,12.346277,1.47313,14.315386
2013-03-08 00:00:00+00:00,11.993386,4.347732,15.179903,8.763171,2.26,5.772115,12.319252,8.563967,90.809523,11.481169,3.89,4.80071,12.720664,1.49036,14.266694
2013-03-11 00:00:00+00:00,12.676553,4.318422,14.97013,8.525558,2.28,5.653306,11.203517,8.293428,93.455599,11.805725,3.83,4.820264,12.67812,1.438671,14.383555
2013-03-12 00:00:00+00:00,12.913764,4.20118,14.941525,8.639618,2.25,5.742413,10.772612,8.386717,92.769581,12.25199,3.76,4.898484,13.375843,1.430056,14.967856
2013-03-13 00:00:00+00:00,12.99916,4.289111,15.389675,8.763171,2.39,5.752313,11.080401,8.433362,93.014589,12.170851,3.82,4.820264,13.10356,1.464515,15.084716
2013-03-14 00:00:00+00:00,12.913764,4.337962,15.589913,8.934251,2.5,5.821618,11.080401,8.554638,93.053783,12.365584,3.91,4.966926,13.10356,1.49036,15.152885
2013-03-15 00:00:00+00:00,12.752461,4.347732,15.875966,8.924748,2.5,5.960228,10.995759,8.582625,93.132187,11.968003,4.0,5.084255,12.924875,1.507589,14.958117
2013-03-18 00:00:00+00:00,12.420366,4.308651,15.904572,8.848711,2.3,5.782015,10.757222,8.554638,92.553974,12.041028,4.04,5.074477,12.848297,1.438671,15.006809
2013-03-19 00:00:00+00:00,12.259062,4.20118,15.465955,8.839207,2.31,5.692909,10.603328,8.442691,92.85778,12.057256,3.93,5.015813,12.933384,1.498975,14.889949
2013-03-20 00:00:00+00:00,12.401389,4.152329,15.351535,8.886734,2.3,5.633505,11.542085,8.629269,92.906785,12.130281,3.9,5.006035,12.814262,1.498975,15.06524
2013-03-21 00:00:00+00:00,12.097759,4.269571,15.485026,8.858224,2.32,5.673108,11.819094,8.582625,92.426565,12.21142,4.0,5.006035,12.780226,1.464515,14.899687
2013-03-22 00:00:00+00:00,12.591158,4.171869,15.427816,8.886734,2.31,5.692909,12.08841,8.45202,91.96595,12.235762,4.0,4.888707,12.669612,1.498975,14.977594
2013-03-25 00:00:00+00:00,12.591158,4.20118,15.313394,8.934251,2.23,5.593902,11.965294,8.563967,92.093359,12.146509,3.94,5.006035,12.550488,1.464515,14.354339
2013-03-26 00:00:00+00:00,12.733484,4.123018,14.455234,8.867727,2.23,5.42559,11.965294,8.545309,93.529325,12.049142,3.83,4.859374,12.473909,1.438671,14.325124
2013-03-27 00:00:00+00:00,12.847346,4.181639,14.159646,8.943764,2.42,5.415689,11.734453,8.582625,93.990642,12.089711,3.82,4.781155,12.473909,1.464515,14.198525
2013-03-28 00:00:00+00:00,12.580487,4.054627,14.035689,8.924748,2.48,5.445391,11.695979,8.797191,94.775856,11.870636,4.02,4.624716,12.346277,1.438671,13.916113
2013-04-01 00:00:00+00:00,11.91334,3.986235,13.530327,9.105341,2.48,5.237476,10.84956,8.881151,96.051839,11.911206,3.92,4.546497,12.371803,1.49036,13.419457
